cve,asset,indicator,threatType,severity,status,score
"CVE-2026-1200","external-exposure","192.0.2.10","IPV4","Low","Monitoring","98"
"CVE-2025-1213","external-exposure","198.51.100.42","IPV4","Low","Monitoring","94"
"CVE-2024-1226","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","90"
"CVE-2026-1239","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","86"
"CVE-2025-1252","external-exposure","192.0.2.10","IPV4","Low","Monitoring","82"
"CVE-2024-1265","external-exposure","198.51.100.42","IPV4","Low","Monitoring","78"
"CVE-2026-1278","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","74"
"CVE-2025-1291","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","70"
"CVE-2024-1304","external-exposure","192.0.2.10","IPV4","Low","Monitoring","66"
"CVE-2026-1317","external-exposure","198.51.100.42","IPV4","Low","Monitoring","62"
"CVE-2025-1330","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","58"
"CVE-2024-1343","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","54"
"CVE-2026-1356","external-exposure","192.0.2.10","IPV4","Low","Monitoring","50"
"CVE-2025-1369","external-exposure","198.51.100.42","IPV4","Low","Monitoring","46"
"CVE-2024-1382","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","42"
"CVE-2026-1395","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","40"
"CVE-2025-1408","external-exposure","192.0.2.10","IPV4","Low","Monitoring","40"
"CVE-2024-1421","external-exposure","198.51.100.42","IPV4","Low","Monitoring","40"
"CVE-2026-1434","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","40"
"CVE-2025-1447","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","40"
"CVE-2024-1460","external-exposure","192.0.2.10","IPV4","Low","Monitoring","40"
"CVE-2026-1473","external-exposure","198.51.100.42","IPV4","Low","Monitoring","40"
"CVE-2025-1486","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","40"
"CVE-2024-1499","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","40"
"CVE-2026-1512","external-exposure","192.0.2.10","IPV4","Low","Monitoring","40"
"CVE-2025-1525","external-exposure","198.51.100.42","IPV4","Low","Monitoring","40"
"CVE-2024-1538","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","40"
"CVE-2026-1551","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","40"
"CVE-2025-1564","external-exposure","192.0.2.10","IPV4","Low","Monitoring","40"
"CVE-2024-1577","external-exposure","192.0.2.10","IPV4","Low","Monitoring","40"
"CVE-2026-1590","external-exposure","198.51.100.42","IPV4","Low","Monitoring","40"
"CVE-2025-1603","external-exposure","198.51.100.42","IPV4","Low","Monitoring","40"
"CVE-2024-1616","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","40"
"CVE-2026-1629","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","40"
"CVE-2025-1642","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","40"
"CVE-2024-1655","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","40"
"CVE-2026-1668","external-exposure","192.0.2.10","IPV4","Low","Monitoring","40"
"CVE-2025-1681","external-exposure","198.51.100.42","IPV4","Low","Monitoring","40"
"CVE-2024-1694","external-exposure","malware.example.com","DOMAIN","Medium","Monitoring","40"
"CVE-2026-1707","external-exposure","5d41402abc4b2a76b9719d911017c592","FILE","Low","Monitoring","40"
